问题,预期意图
帮我分析一下300065的股票，还会继续下跌吗，基本面怎样，发展潜力如何,oos
我要做超短线你给我一个策略,oos
601137这支股票后面会有怎么样的走势？该公司的产品在市场中是否具有发展潜力？,oos
帮我分析下中兴通信未来走势，今天大跌后是否能回升,oos
"帮我分析海康威视未来走势，是否要获利轻仓

",oos
前段时间航天发展股价涨了2倍，这段时间有回调，炒作这个股票的自己现在进了哪几只股票,oos
怎么在分时上监测到超级主力,oos
今日上龙虎榜的个股有那些,oos
有主力潜伏吸筹的个股介绍一下,oos
你是一个资深的股票分析师，请运用价值投资的理念，使用雪球大 V 的思考逻辑和思考框架，运用邱国鹭老师的投资理念。搜索最新的股票收盘价，对应这个收盘价，在 2026 年2月2日到5日之间，这只股票最容易翻一倍的那 5 只股票，帮我找出来。要求翻一倍的的股票的翻倍几率大于 85%。,oos
怎么用指南针交易软件我到筹码峰,oos
根据资金数据、还有消息面、政策面分析，浩通科技明天走势如何发展？,oos
指南针，显示慧眼的说明在哪里可以找得到？,oos
华天科技主要做什么的？今年营收如何,oos
现在洲际油气的股价活跃度为正数91.538，是不是高度活跃,oos
洛阳钼业今天主流入多嘛，能买吗,oos
至少从6个维度面帮我推荐今日短线。可买股票,oos
600769 分析下这个股票后期上涨趋势如何，依据是什么,oos
600732未来走势和买卖点,oos
002451未来走势和买入点,oos
今天赣锋你也可以补仓吗？想做一人,oos
南山铝业如何？高抛低吸,oos
你至少6个维度的技术面帮我推荐今日短线。可买股票,oos
航天智造怎么看，能介入吗？？,oos
你是一个资深的股票分析师，请运用价值投资的理念，使用雪球大 V 的思考逻辑和思考框架，运用邱国鹭老师的投资理念。搜索最新的股票收盘价，对应这个收盘价，在 2026 年2月2日到5日之间，这只股票最容易翻一倍的那 5 只股票，帮我找出来。要求翻一倍的的股票的翻倍几率大于 85%。,oos
帮我每天盘后做一个复盘bean根据指南针软件提供的数据。推荐出三个明天可以操作的龙头股票,oos
请问现在重点关注那几个板块，资金流入那几个板块,oos
"
            
            
                
                
                
                 方向：存储芯片+半导体概念 资金：北向+资本+基金+牛散重仓 资金：主力持续洗盘+抢筹事件：产品涨价+外围半导体大涨 业绩：25年利润翻倍技术：周线级别突破3年箱体压力+MACD红码飙升形态的右侧买点=红柱再次",oos
2026年春节档电影受益哪些股票，在资金面，技术面分析一下买入时机,oos
上周的热门概念，热门行业有哪些？且资金流入量较大，预测本周的热门概念和行业有哪些？,oos
1月30号美国金价、银价大幅受挫， 2月2号开盘，美国金价、银价预计走势。,oos
在A股做钢材贸易的公司有哪几家？龙头是谁？,oos
002871走势，建仓？对比兄弟科技？,oos
选出资金流入最多，基本面好盈利能力强，趋势向上突破，股性活跃，周一可买入的前五只股票,oos
这周有哪方面的利多消息，有那些股票推荐,oos
三步战法如何结合0Z指数分析市场整体情况？,oos
如何结合资金龙虎榜和主力资金指标验证机构动向？,oos
如何通过波段决策筛选当天出现买入信号的股票？,oos
如何自定义主力资金流入阈值的预警提示？,oos
如何结合筹码分布与多空资金判断买卖点？,oos
三步战法如何结合“时空极限指标进行风险控制？,oos
如何将波段决策信号导入自选股监控列表？,oos
如何通过三步战法判断大盘的波段结构牛或短期结构牛？,oos
波段决策在次新股中的适用性如何？,oos
波段决策中的“股价活跃度指标如何配合使用？,oos
如何通过波段决策判断突破有效性（如压力位）？,oos
三步战法如何结合黄金坑指标捕捉抄底机会？,oos
如何利用波段决策进行分批建仓/减仓？,oos
如何利用三步战法判断主力资金与散户资金的博弈？,oos
三步战法如何结合“敢死队资金指标进行短线操作？,oos
多空资金与成交量指标如何配合使用？,oos
如何利用主力资金指标识别主力对倒行为？,oos
如何通过三步战法判断北上资金动向？,oos
如何利用主力资金指标判断洗盘结束信号？,oos
如何通过三步战法筛选高控盘筹码的优质股？,oos
今天天气怎么样,oos
这周末天气好吗？,oos
你在干嘛？,oos
我今天心情不好,oos
你能陪我聊会儿吗？,oos
人为什么要睡觉？,oos
陪我写诗,oos
给我讲个笑话,oos
最近有什么好看的剧,oos
我相册里的图怎样才能让你知道？,oos
好的，谢谢,oos
你真笨！,oos
上海的别称,oos
疯狂动物城2是上海电影承包吗,oos
属狗的人在2026年的哪些时间容易发横财？,oos
谢谢您的支持,oos
不能投屏到大屏幕电视机上面看节目,oos
PC是什么,oos
把整个字体变大。,oos
马可波罗,oos
明天天气怎么样？,oos
这个黑色的夜间屏幕怎么设置成白天？,oos
给我讲个冷笑话,oos
西部材料主要生产什么？它的产品在市场上有什么核心优势？,oos
1月14日热点板块和优质标的？,oos
600215今日下午是不是装的扫货？明天预计高开多少？,oos
请问洛阳钼业今天为什么这样子调整，然后现在还可以买吗？,oos
山东墨龙 挂单量以及后市如何判断,oos
对我持仓股，分析明日投资机会,oos
农心科技有没有利空消息，股票能否继续持有,oos
目前持有光迅科技给出分析建议，明天走势如何,oos
我的自选股有那些明天走强可以买的,oos
光学光电子版块有哪些龙头公司,oos
T0策略盈平是什么意思？怎样操作？,oos
代码300855的股票未来可期？如何止盈止损,oos
帮我分析一下中科创达的基本面和中央1号文件，还有成长方面有有没有优势？适合什么类型的持股？,oos
"文笔续尾：
冬雪红梅春烟柳
万千风景皆逊色
此生幸得真知已
一一一一一一？",oos
公司主营电网设备母线，是国内母线行业龙头之一，受益于输配电设备的需求，同时，公司与孛璞半导体合资成立公司。,oos
帮我打开盘中监控功能中的回调补涨。,oos
请将我的自选股属于哪些行业？给我分析一下,oos
农心科技有没有利空消息，股票能否继续持有,oos
老师好，请问老师300777与300699这两支个那一支业绩更优秀？,oos
"加自选：
600459 贵研铂业
002383 合众思壮
600707 彩虹股份
600618 氯碱化工
600869远东股份
601519大智慧",oos
近一个月内研报建议买入股票降序排名，只要00和60开头股票。,oos
西测测试再涨几个点会触发异动规则,oos
目前持有光迅科技给出分析建议，明天走势如何,oos
筛选出有消息面刺激的有上涨概率大的股票,oos
商业航天都有什么股票，下周走势建议个股,oos
中天科技里面的股东张跃军这几天的资金进出情况,oos
你好Al帮我分析一下上海贝岭未来出现金叉趋势往上走,oos
你邦我看002413明天的走势是强还是强是不是像有些软件查出的续下跌十几个点？,oos
旭升集团603305近三天的走势，主力的意途是什么，主力在出货的迹象吗,oos
智能阿尔法选出3A，短线波段信号开仓的，今天,oos
科大讯飞股票支撑位、压力位各是多少？未来5个交易日走势如何？今天是否适合买入？,oos
600477是洗盘还是出货，明天走势如何,oos
在北交所上市的股票，风险都特别大吗？是退市后又重新上市的吗。是不是质地都不太好,oos
帮我分析一下卧龙电驱情况，持股是否需要减仓,oos
恒生电子涨停的逻辑是啥?同类型的股票有哪些？,oos
Ai金融概念股有那些与近期Ai板块中龙头,oos
从四个维度分析青岛金马的走势并给出后续操作建议,oos
根据今日上证指数及盘面上所有数据分析一下明天。资金会主力集中分布在哪些板块？,oos
跃岭股份今天流出多少资金，明天的走势如何？,oos
结合今日晚间新闻以及指南针提供的所有指数。明天哪个板块会走强？,oos
分析化工新材料股里与商业航天及新能源相关的化工新材料公司并推荐,oos
证通电子，省广集团，那个看涨趋势强,oos
未来国家往哪几个方向发展？关键到哪几个方面的股票,oos
帮我选一下子啊，诊股一里头那个四项能力叠加的股票呗。适合于短线开仓的。,oos
该股票今天的走向如何？是否可以作为长期持有？,oos
东方财富股票支撑位、压力位各是多少？未来5个交易日走势如何？今天是否适合买入？,oos
 到目前为止，帮我分析一下整个A股市场，从基本面、消息面、资金面、长期投资发展方向。选出目前低估值的股票。,oos
昨天A股上涨最多的。最强版怪,oos
请分析一下中鼎股份近三个月股价，并预测未来股价走势，同时分析一下与逐际动力合资组建机器人公司情况，这一投资对中鼎股份股价未来走势有无实质影响？,oos
从资金换手率等等多方面，预测一下山子高科明天的走势,oos
用红三兵指标选股,oos
603708，明日如何操作，主力资金还在么,oos
航天动力，使用筹码峰分析一下后期走势,oos
股价处于低估状态、未来上涨空间大的品种。,oos
从今天的资金面消息面橘树苗分析一下，还有各个方面分析一下这个趋势分析一下这个蓝色光标。明天有可能会出现什么样的状况,oos
分析一下600497，未来走势和投资策略,oos
帮我分析一下责问连这支票。这个今天开盘,oos
通宇通讯主力均价多少，还有多少下跌空间，今天主力会护盘吗,oos
液冷龙头股是谁，哪个股票投资确定性高,oos
歌尔股份。30左右能不能入手？未来趋势如何？,oos
告知我这只股票持仓有哪些机构，并且告知这些机构的特点。,oos
在分时图下方为什么会出潜夫吸筹是什么意思,oos
利用擒龙平台，找出下周强势上涨的股票,oos
分析长电科技，周一能不能买？合复热点，人气，筹码，趋势，高控盘能走强的指标吗？,oos
300352近期的公告对后市股价的影响,oos
请问老师，川仪股份未来走势如何？我现在被套5个点26.4元成本，后续我应该如何操作,oos
用陈小群的情绪活力龙头战法帮我选一下现在可以买入的股票,oos
楚江新材现在适合进吗？里面有没有主力资金,oos
朱雀三号如果下次发射成功回收，​哪些股票可以大涨？​给出专业的分析,oos
中重科技目前位置高不高？下周上涨空间大吗？,oos
请从维科精密、未来电器、艾芬达、中生科技、广电电气这五支股票中，选出下周2支热门、有上涨空间的股票？,oos
你是私募大佬章建平，请帮我查一下长鑫科技天气大股东,oos
为什么呢？,通用类
真笨,通用类
有没有搞错啊，不可能吧,通用类
取消夜间模式。,通用类
帮我调出贵州茅台的日K线图看看,K线图类
我想看下宁德时代最近一个月的走势图,K线图类
东方财富的周线图能给我切出来吗,K线图类
给我看一下比亚迪的月K线长什么样,K线图类
招商银行现在的5分钟K线走势怎么样,K线图类
看看中芯国际加上MACD指标的日K线,K线图类
帮我打出楚江新材的K线图,K线图类
图形切到日线级别给我瞅瞅,K线图类
把这只票的K线图调出来,K线图类
看看大盘的分时图是怎么走的,K线图类
帮我把五粮液最近的日线图打出来，我看看是不是破位了,K线图类
把带有长下影线的那天K线图给我调出来看看,K线图类
给我看看最近连板那只妖股的K线叠加图,K线图类
现在的15分钟级别图表上，赛力斯走到哪了,K线图类
我要看昨天涨停的那只股票的盘口和分时图,K线图类
把美团的日K、周K和月K放在一起给我对比一下,K线图类
我想看它历史的整体K线形态,K线图类
帮我把招商银行的分时图调出来,分时图类
我要看今天上证指数的分时走势,分时图类
给我切到贵州茅台当天的分时界面,分时图类
东方财富今天的分时黄白线怎么走的,分时图类
帮我看一下刚刚比亚迪直线拉升的分时,分时图类
调出大盘现在的分时图给我瞅瞅,分时图类
给我看一下这只股票今天的实时分时,分时图类
看看中芯国际今天尾盘跳水的分时图,分时图类
隆基绿能今天早盘的分时走势能发我下吗,分时图类
帮我打开赛力斯的分时走势界面,分时图类
给我拉一下万科A现在的分时图,分时图类
调出这只股的分时，我想看看均价线的位置,分时图类
看看同花顺今天下午这波拉升的分时图,分时图类
麻烦把分时图放大一点，看下刚才的波动,分时图类
给我看下今天科创50指数的实时分时走势,分时图类
好的，谢谢你,通用类
暂时不用了,通用类
早上好啊,通用类
麻烦你了,通用类
原来是这样,通用类
行吧，先不管这个了,通用类
能看懂我发的消息吗,通用类
太棒了,通用类
你接着说,通用类
不对不对，我不是这个意思,通用类
我可以叫你小爱同学吗？,通用类
道氏技术该不该持有？,诊股类
中光防雷能买吗,诊股类
分析一下道氏股份。,诊股类
中光防雷能买吗,诊股类
帮我分析一下迎驾贡酒,诊股类
TCL科技股票怎么样,诊股类
Tcr科技最近走势怎么样？,诊股类
分析天龙股份,诊股类
分众传媒值不值得购买？,诊股类
道氏股份。,诊股类
中国人寿，今年的发展怎么样？,诊股类
分析一下道氏股份值不值得持有。,诊股类
002342,诊股类
002490,诊股类
300627诊股,诊股类
分析漳州发展,诊股类
"陈小群
",诊股类
黄河路营业部,诊股类
帮我看看上海电力,诊股类
002340诊股,诊股类
002409能买吗？,诊股类
帮我看看摩恩电气,诊股类
002973,诊股类
帮我分析一下洋河股份,诊股类
雷科防雾分析,诊股类
002292,诊股类
双林股份,诊股类
领益智造表现怎样,诊股类
领益智造表现怎样,诊股类
富瀚微走势怎样,诊股类
包钢股份,诊股类
马可波罗走势怎样,诊股类
阳光电源,诊股类
帮忙评论一下天下秀股票,诊股类
帮我分析一下TCL科技短期走势？,诊股类
000725怎么样,诊股类
帮我分析一下TCL短期走势？,诊股类
美信科技走势怎样,诊股类
今天雅化集团股价下跌原因是什么？,诊股类
酒鬼酒被套10个点,诊股类
帮我分析一下屹唐股份短期走势？,诊股类
领益智造表现怎样,诊股类
帮我分析一下中航光电,诊股类
亨通光电,诊股类
帮我分析一下沐曦股份,诊股类
铜陵有色适合长期投资吗,诊股类
亿道信息走势怎样,诊股类
分析一下歌尔股份的资金面和趋势,诊股类
000965,诊股类
科沃斯走势怎样,诊股类
雷科防务,诊股类
恒瑞医药,诊股类
长亮科技走势怎样,诊股类
南天信息走势怎样,诊股类
蓝思科技近期情况,诊股类
帮我分析一下金风科技。,诊股类
000786,诊股类
国际医学走势怎样,诊股类
天齐锂业,诊股类
航天材料,诊股类
赣锋锂业,诊股类
002465,诊股类
航天发展,诊股类
002375,诊股类
分析汉得信息,诊股类
分析三花智控,诊股类
杰瑞股份？,诊股类
宝莫股份,诊股类
杰瑞股份？,诊股类
健康元,诊股类
杭齿前进走势分析,诊股类
计算机应用最近表现如何？,诊股类
帮我看看中兴通讯还要加仓吗,诊股类
帮我分析航天发展,诊股类
法本信息走势分析,诊股类
分析300492,诊股类
帮我分析一下中航西飞,诊股类
帮我分析一下广东宏大,诊股类
航天工程,诊股类
万马股份？,诊股类
帮我分析下皇氐集团,诊股类
帮我分析一下迎丰股份,诊股类
帮我分析一下航天发展,诊股类
帮我分析一下航天动力,诊股类
金岭矿业？,诊股类
帮我分析一下水井坊,诊股类
请分析一下潍柴重机,诊股类
帮我分析一下贵州茅台,诊股类
华菱线缆,诊股类
帮我分析一下汇川技术,诊股类
分析一下华胜天成,诊股类
301617 趋势如何？,诊股类
邦我分析一下维柴重机,诊股类
汇川技术怎么样？,诊股类
分析一下002488,诊股类
分析一下002373,诊股类
东珠生态,诊股类
我的自选股今天表现怎么样？,诊股类
帮我分析下南兴股份吧,诊股类
三佳科技,诊股类
中国卫星,诊股类
大众公用,诊股类
300775可以加仓吗,诊股类
多氟多,诊股类
平潭发展怎么样,诊股类
300251可以加仓吗,诊股类
帮我分析一下中科创达,诊股类
低估值的成涨白马股有哪些,选股类
二氯二氢硅概念股,选股类
均线多头排列，主力高控盘的股票,选股类
放量上涨，涨幅大于3%，突破股票箱体,选股类
AI叠加存储芯片的上市公司黑马，排除科创板,选股类
给我搜索    放量上涨，涨幅>3%，收盘价在5日线上，突破箱体上沿,选股类
AI叠加存储芯片龙头，排除科创板,选股类
AI叠加存储芯片龙头,选股类
连续 3日换手率5%-15%,选股类
连续 3日换手率5%-15%+近5日主力资金净流入超1亿＋5日/10日/20日均线多头排列,选股类
液冷的龙头,选股类
连续 3日换手率5%-15%+近5日主力资金连续增仓+5日/10日/20日均线多头排列,选股类
工业智能算力供给有哪些公司，最直接利好的是哪家,选股类
连续 3日换手率5%-15%+近5日主力资金净流入超1亿＋5日/10日/20日均线多头排列,选股类
火箭回收的上市股票名字,选股类
A股有哪些央企上市公司？,选股类
"601179 中国西电
600198 大唐电信
601611中国核建
603015 弘讯科技
002842 翔鹭钨业",选股类
"601179 中国西电
600198 大唐电信
601611中国核建
603015 弘讯科技
002842 翔鹭钨业
加自选",选股类
"把以下股票加自选：
601179 中国西电
600198 大唐电信
601611中国核建
603015 弘讯科技
002842 翔鹭钨业",选股类
"加自选：
601179 中国西电
600198 大唐电信
601611中国核建
603015 弘讯科技
002842 翔鹭钨业",选股类
是央企的上市公司有哪些？,选股类
航天类股票有哪些？,选股类
帮我选取资金连续流入10天以上，涨幅小的三只股票,选股类
变压器股票,选股类
变压器的龙头,选股类
特高压的股票龙头,选股类
人形机器人概的股有哪些,选股类
今天有哪些主力资金流入大的股票,选股类
喝聚变龙,选股类
歌剧变龙头,选股类
1月12日将召开股东大会的公司,选股类
近期热点股票,选股类
近期入选智能阿尔法股票,选股类
最新商业航天跨业并购有有哪些股票,选股类
金叉股票,选股类
5日上穿10日线的股票,选股类
5分钟均线上穿10分钟均线的股票,选股类
5日均线上穿10均线的股票,选股类
"昨日未涨停，高开幅度大于 3%，竞价量比大于 2，竞价金额大于 200
万，沪深 A 股，非 st，非北交所，竞价试买，成交量 200 万到 1000 万，市盈
率大于等于 25 小于等于 50；",选股类
"今日开盘涨幅大于 3%；集合竞价换手率大于 0.1%；前两个交易日振幅
小于 18.6%；非 ST；3 个月内涨停过；今日开盘未涨停；昨日未涨停，昨日未
跌停",选股类
脑机接口概念的股票有哪些,选股类
有其它板块的吗,选股类
有商业航天概念和脑机接口概念的股票是什么,选股类
"今日开盘涨幅大于 3%；前一个交易日成交大于 8%；集合竞价量比大于
10；3 个月内涨停数大于 1；非 ST；前一个交易日涨停；今日开盘未涨停",选股类
航天耐高温材料个股,选股类
"今日集合竞价量比大于 5，非 st，非北交所，今日未高开 7%以上；今日
未低开 3%以下；非昨日涨停；集合竞价抢筹。",选股类
MACD金叉的股票,选股类
5日均线上穿10日均线,选股类
5日均线上穿10日均线，金叉股票,选股类
协鑫集成关联哪些股票,选股类
计算机应用板块中涉及无人驾驶概念的股票,选股类
商业航天概念股梳理,选股类
机器人概念股梳理,选股类
最近融资流入最多的股票,选股类
光刻机概念股梳理,选股类
中央汇金重仓了哪三家股票,选股类
选股,选股类
开盘换手Z>0.8，主力净比>1%，非ST，非科创板，,选股类
脑机接口概念股梳理,选股类
多头排列的主板股票,选股类
脑机接口,选股类
流入资金多头排列的主板股票,选股类
行业IC金叉个股,选股类
量比暴涨的主板股票,选股类
量比暴长的主板股票,选股类
核聚变龙头,选股类
量比暴涨多头排列的主板股票,选股类
哪种ETF基金里有贵重金属，有色金属相关股票,选股类
太空AI芯片股票,选股类
哪种ETF基金里有脑机接口相关股票,选股类
商业航天龙头股,选股类
退市股边缘2（板块）是？,选股类
谁家公司现在价格在27.5元,选股类
脑机接口有那些股票,选股类
AI太空算力股票,选股类
智能驾驶相关个股,选股类
创新药含小核酸概念的股票,选股类
商业航天，卫星导航概念,选股类
小核酸概念的股票,选股类
商业航天算力概念股,选股类
当下最强主线,选股类
明天股票推荐，买卖点,推荐类
推荐一支明天买入股票,推荐类
明天有啥好股票,推荐类
明日关注哪些股票,推荐类
推荐三只明天可以买的股票。,推荐类
明天那些股有可能涨停,推荐类
明天有那些股票值得,推荐类
推荐机器人成长型和龙头股票,推荐类
帮我选两只明天做短线的股票,推荐类
那在这两个行业中哪支股票值得关注呢,推荐类
您好！我现在买入哪个板块的股票比较合适？,推荐类
今天超短线主板干那支票,推荐类
超短线今天做那支票,推荐类
今天那些股票值得关注,推荐类
尾盘买什么,推荐类
今天主板干那支票好,推荐类
今天下午可以买进哪些股,推荐类
今天有什么好的股票,推荐类
今天有哪些股票值得关注？,推荐类
现在入手哪些股票？,推荐类
今日超短线做那支票,推荐类
现在能买哪些股票？,推荐类
帮我选2支今天可以买进的股票,推荐类
今天看好的短线股,推荐类
今天哪个适合买,推荐类
今天有合适的票买吗,推荐类
脑机接口股票推荐,推荐类
今天特别关注的股票推荐几支,推荐类
今天有那些股票值得关注,推荐类
今天有那些股票可以买,推荐类
今日股票推荐,推荐类
我怎么选取一支好股票,推荐类
目前那些股票可以买,推荐类
长线产品适合买哪个,推荐类
明日有哪些股票值得买,推荐类
今日有哪些股票值得关注？,推荐类
推荐一支上涨空间超2倍的绩优股,推荐类
股价触发监管异动的条件是哪些,知识库类
A股市场触发监管异动的条件是什么？,知识库类
A股触发异动的标准是什么？,知识库类
指南针股票平台金币如何得,知识库类
空心k线和实心k线的区别,知识库类
能在平板上装指南针软件吗,知识库类
单阴侧顶,知识库类
金币如何得到,知识库类
脑机布局，脑机接口，指的是什么意思？,知识库类
在指南针软件里头怎么调出这个极限方指数？,知识库类
怎么用这个急性风指数？,知识库类
黄金坑战法教学,知识库类
指南针软件里头有一个急先锋指数嗯是怎么算出来的你知道吗？,知识库类
有个极限峰值数是什么意思怎么用啊？,知识库类
MACD金叉,知识库类
成交量是卖出去多还是买进多？,知识库类
指南针软件k线如何叠加布林线,知识库类
K线如何叠加布林线,知识库类
指南针软件中龙头指数先锋1号与2号叠加在K线中如果K线上穿龙头指数的含义,知识库类
手机版k线图标显示行字是什么意思,知识库类
指南针软件中龙头指数先锋1号与2号叠加在K线中如何分析,知识库类
指南针软件中龙头指数先锋1号与2号的区别与用法,知识库类
劳机解扣,知识库类
龙头指数用法,知识库类
退市股边缘2（板块）是不是这个板块里的个股要退出市场了呢？,知识库类
是什么意思呢？,知识库类
怎么查找个股每天分时图,知识库类
怎么查找每天分时图,知识库类
擒龙版怎么用,知识库类
中剪红兵,知识库类
擒龙版怎么用,知识库类
听课回放在哪看,知识库类
指南针龙虎榜在哪里看,知识库类
指数怎么买,知识库类
有画线吗？,知识库类
轮动状态中的圆圈颜色怎么分别,知识库类
轮动状态怎么分别,知识库类
一阳穿三线。,知识库类
手机擒龙版怎么调出转动战法的五盏灯,知识库类
风火轮,知识库类
交易费用怎么收？,知识库类
K线图上那根平滑蓝色的细线是什么线？,知识库类
使用智能条件单收费吗？,知识库类
下载电脑版,知识库类
我我说的是指南针软件中提到的零对指数指的是什么？,知识库类
哪里能看到文字版学习的内容,知识库类
请问领队指数指的是什么？请问零对指数是什么？,知识库类
为什么我只能买一些6字头的股票？,知识库类
为什么有些股票被限制购买？,知识库类
指南针的金币怎么获取,知识库类
手机版轮动灯如何调出,知识库类
指南针的金币发放规则,知识库类
积分在哪里看,知识库类
最近是主力在出货还是洗盘？,知识库类
积分系统在哪里,知识库类
内外盘在哪里看,知识库类
指南针电脑版下一支按钮在哪里,知识库类
拓维信息，未来三天走势预测。,预测类
白酒板块未来怎么看？,预测类
我今天买了翔鹭钨业 明天怎么操作,预测类
白酒板块未来怎么看？,预测类
看看中国平安后势怎么走？,预测类
帮我看一下三博脑科接下来怎么走,预测类
紫光股份未来走势情况,预测类
603501未来走势,预测类
601899未来走势情况,预测类
豪威集团未来走势情况,预测类
豪威集团未来走势情况,预测类
宁德时代未来走势情况,预测类
江苏国泰接下来怎么操作？,预测类
丽江股份后市怎样？,预测类
白酒板块未来怎么看？,预测类
白酒板块未来怎么看？,预测类
300790分析一下后期趋势,预测类
金风科技明天走势预测,预测类
白酒板块未来怎么看？,预测类
宁德时代未来走势情况,预测类
300366未来走势情况。,预测类
ST创意未来走势情况？,预测类
002320海峡股份未来行情会怎样发展？,预测类
宁德时代未来走势情况,预测类
中国西电明天怎么走,预测类
合康新能后市怎么走,预测类
道氏技术的后续走势？,预测类
烽火通信后续走势？,预测类
天顺风能未来走势,预测类
祥源文旅未来走势,预测类
600230后势如何,预测类
帮我分析一下南京熊猫未来风险,预测类
贵重金属还能上涨吗,预测类
明天开盘哪个板块资金流入多,预测类
商务部对原产于日本的进口二氯二氢硅发起反倾销调查，对哪些股票有利好利空,新闻类
飞荣达的冷板式液冷是英伟达的合作供应商吗？,新闻类
最近的热点,新闻类
海南商业航天发射场地,新闻类
对日本二氯二氢硅反倾销调查对存储有利好吗？,新闻类
今天股市热点,新闻类
明天的10000亿逆回购影响吗,新闻类
河钢资源参与变压器制造了吗,新闻类
国家对白银出口进行管制，这对白很股价影响多大？,新闻类
天宜新材的资产重组有否展？,新闻类
商业航天在哪些地方发射,新闻类
今年两会什么时候开会,新闻类
上海微电子并购华建集团,新闻类
上海微电子签约会是哪家,新闻类
今天股市走势如何？,新闻类
2025早有哪些公司披露年报最早,新闻类
510880什么时候分红,指标查询类
指南针客服电话是多少？,指标查询类
指南针公司电话是多少,指标查询类
中航光电12月15日以来杠杆资金流入如何,指标查询类
利欧股份主力资金控盘比例,指标查询类
泰和新材,诊股类
海格,诊股类
宝胜股份,诊股类
紫金矿业,诊股类
分析金风科技,诊股类
帮我分析下万向钱潮,诊股类
润和软件,诊股类
分析一下920160,诊股类
五矿资本,诊股类
久远银海,诊股类
通威股份,诊股类
富瑞特装,诊股类
帮我分析一下000158,诊股类
帮我分析一下冰轮科技,诊股类
索道发展这只票怎么样,诊股类
新农开发,诊股类
麻烦分析一下中国动力,诊股类
通裕重工,诊股类
常山北明最近走势及行情分析,诊股类
金力永磁怎么操作？,诊股类
帮我分析一下弘讯科技,诊股类
宝丰能源现在可以加仓吗,诊股类
索通发展,诊股类
在指南针哪看筹码？用图说明,oos
28日以色列与伊朗战争，资金避险，仓位如何应对？选股应该怎么选,oos
哈空调600202周K线连续三周上行，代表什么意思？,oos
大有能源，可以赤有吗,oos
华胜天成后势走势如何？,oos
加上这俩天美伊战争把选取的股票重新择优,oos
帮我分析一下浪潮信息这个股票。今年有没有盈利，市值有多少？是不是今年的主线？,oos
万和电气周线收上长影十字星，后期走势？,oos
中国石化，洲际油气，这些累，的和美伊开战不能买吗？,oos
美国和伊朗开战，利好哪些股票，业绩预增稳定增长的,oos
我2月26日买入大笔600010股票，27日9.26分钟下单卖了，后来快涨停，后悔死了，请分析一下我这种情况要如何避免,oos
你是真人客服还是智能机器人,身份类
你能帮我做些什么,身份类
你是专门负责解答股票问题的AI吗,身份类
你是哪家公司开发的大模型助手,身份类
你叫什么名字,身份类
我平时该怎么称呼你,身份类
你是个软件程序还是背后有真人在回消息,身份类
介绍一下你,身份类
你懂炒股吗,身份类
你平时需要休息吗，还是24小时都能陪我聊股票,身份类
商业航天中硬件的股票有那些,选股类
航天军工股票,选股类
商业航天加人形机器人在家人脑集结股票选出来,选股类
Ai企业应用方面股票,选股类
商业航天板块近十天资金流入多且涨幅小的个股有哪些,选股类
AI智能板块近十天资金流入多且涨幅小的个股有哪些,选股类
核聚变有那些股票,选股类
找三位低价科技股,选股类
2026年1月7日涨停股票中，至1月12日止，调整未跌涨停板的最低位的股票,选股类
包含可控核聚变的股票都有哪些,选股类
今日首板涨停的个股 剔除北交所 剔除科创板 剔除ST,选股类
赵三维低价科技股,选股类
请帮我分析一下自选股。,诊股类
帮我分析一下600135.,诊股类
华能水电能做长线持有吗？,诊股类
002471,诊股类
利欧股份,诊股类
华测检测,诊股类
分析一下301161资金动向,诊股类
芯长征的成长性有多大,诊股类
帮我看看/603617-看今天可以买不,诊股类
600157股票短期可以做吗,诊股类
飞天诚信走势,诊股类
我的自选股今天表现怎么样？,诊股类
晶雪节能（301010）这几天为何不随大盘上涨，反而倒跌？,诊股类
002125,诊股类
北京君正,诊股类
北京君正,诊股类
泰永长征,诊股类
利欧股份怎么样,诊股类
工业富联。,诊股类
指南针做T,诊股类
普天科技。,诊股类
再升科技最近有没有十天或三十天的异动压制？,诊股类
岩山科技还可买入吗,诊股类
华安证券。,诊股类
001386,诊股类
001386,诊股类
分析300922,诊股类
分析002369,诊股类
分析卓那翼科技,诊股类
分析农心科技,诊股类
帮我分析一下燕麦科技,诊股类
分析华电新能,诊股类
海澜之家股票走势分析,诊股类
帮我分析一下，天下秀,诊股类
分析星网锐捷,诊股类
分析福田汽车,诊股类
航天发展还能买吗,诊股类
帮我分析一下紫金矿业,诊股类
帮我分析一下紫金,诊股类
帮我分析一下紫金,诊股类
000725,诊股类
德业股份业绩怎么样，目前估值是否低估，成长空间怎么样？具有投资价值？,诊股类
分析一下海欣食品,诊股类
西藏珠峰,诊股类
帮我分析一下贵州茅台,诊股类
传音控股目前估值低估，未来盈利能力怎么样，净利润与现金流比率大于1吗？目前是成长股还是价值股？,诊股类
国信证券,诊股类
华建集团,诊股类
中联重科,诊股类
中科曙光,诊股类
云天化,诊股类
计算机应用最近表现如何？,诊股类
际华集团,诊股类
久吾高科,诊股类
计算机应用最近表现如何？,诊股类
浪潮信息,诊股类
包钢股份,诊股类
分析金力永磁,诊股类
特变电工,诊股类
上海电气,诊股类
拓维信息,诊股类
华银电力,诊股类
天华新能,诊股类
帮忙分析一下中国高科这支股票,诊股类
北方稀土,诊股类
中文在线如何,诊股类
请问东方日升怎样,诊股类
